2.966903	0.345508
2.965942	0.345186
2.964982	0.344867
2.964021	0.344551
2.963061	0.344238
2.962100	0.343927
2.961140	0.34362
2.960179	0.343315
2.959219	0.343013
2.958258	0.342713
2.957298	0.342417
2.956337	0.342123
2.955377	0.341833
2.954416	0.341545
2.953456	0.341259
2.952495	0.340977
2.951535	0.340697
2.950574	0.340421
2.949614	0.340147
2.948653	0.339876
2.947693	0.339607
2.946732	0.339342
2.945772	0.339079
2.944811	0.338819
2.943851	0.338562
2.942890	0.338307
2.941929	0.338056
2.940969	0.337807
2.940008	0.337561
2.939048	0.337318
2.938087	0.337077
2.937127	0.33684
2.936166	0.336605
2.935206	0.336373
2.934245	0.336143
2.933285	0.335917
2.932324	0.335693
2.931364	0.335472
2.930403	0.335254
2.929443	0.335039
2.928482	0.334826
2.927522	0.334616
2.926561	0.334409
2.925601	0.334205
2.924640	0.334003
2.923680	0.333804
2.922719	0.333608
2.921759	0.333415
2.920798	0.333225
2.919838	0.333037
2.918877	0.332852
2.917916	0.33267
2.916956	0.332491
2.915995	0.332315
2.915035	0.332141
2.914074	0.33197
2.913114	0.331802
2.912153	0.331636
2.911193	0.331474
2.910232	0.331314
2.909272	0.331157
2.908311	0.331002
2.907351	0.330851
2.906390	0.330702
2.905430	0.330556
2.904469	0.330413
2.903509	0.330272
2.902548	0.330135
2.901588	0.33
2.900627	0.329868
2.899667	0.329739
2.898706	0.329612
2.897746	0.329488
2.896785	0.329367
2.895825	0.329249
2.894864	0.329134
2.893903	0.329021
2.892943	0.328912
2.891982	0.328805
2.891022	0.328701
2.890061	0.328599
2.889101	0.328501
2.888140	0.328405
2.887180	0.328312
2.886219	0.328222
2.885259	0.328134
2.884298	0.32805
2.883338	0.327968
2.882377	0.327889
2.881417	0.327813
2.880456	0.32774
2.879496	0.327669
2.878535	0.327602
2.877575	0.327537
2.876614	0.327475
2.875654	0.327416
2.874693	0.327359
2.873733	0.327306
2.872772	0.327255
2.871812	0.327207
2.870851	0.327162
2.869890	0.32712
2.868930	0.327081
2.867969	0.327044
2.867009	0.327011
2.866048	0.32698
2.865088	0.326952
2.864127	0.326927
2.863167	0.326905
2.862206	0.326885
2.861246	0.326869
2.860285	0.326855
2.859325	0.326845
2.858364	0.326837
2.857404	0.326832
2.856443	0.32683
2.855483	0.326831
2.854522	0.326834
2.853562	0.326841
2.852601	0.326851
2.851641	0.326863
2.850680	0.326878
2.849720	0.326897
2.848759	0.326918
2.847799	0.326942
2.846838	0.326969
2.845878	0.326999
2.844917	0.327032
2.843956	0.327067
2.842996	0.327106
2.842035	0.327148
2.841075	0.327192
2.840114	0.32724
2.839154	0.327291
2.838193	0.327344
2.837233	0.327401
2.836272	0.32746
2.835312	0.327522
2.834351	0.327588
2.833391	0.327656
2.832430	0.327728
2.831470	0.327802
2.830509	0.327879
2.829549	0.32796
2.828588	0.328043
2.827628	0.328129
2.826667	0.328219
2.825707	0.328311
2.824746	0.328407
2.823786	0.328505
2.822825	0.328607
2.821865	0.328711
2.820904	0.328819
2.819943	0.32893
2.818983	0.329043
2.818022	0.32916
2.817062	0.32928
2.816101	0.329403
2.815141	0.329529
2.814180	0.329658
2.813220	0.329791
2.812259	0.329926
2.811299	0.330064
2.810338	0.330206
2.809378	0.330351
2.808417	0.330499
2.807457	0.33065
2.806496	0.330804
2.805536	0.330961
2.804575	0.331121
2.803615	0.331285
2.802654	0.331452
2.801694	0.331621
2.800733	0.331794
2.799773	0.331971
2.798812	0.33215
2.797852	0.332333
2.796891	0.332519
2.795930	0.332708
2.794970	0.3329
2.794009	0.333095
2.793049	0.333294
2.792088	0.333496
2.791128	0.333701
2.790167	0.33391
2.789207	0.334121
2.788246	0.334336
2.787286	0.334554
2.786325	0.334776
2.785365	0.335001
2.784404	0.335229
2.783444	0.33546
2.782483	0.335695
2.781523	0.335933
2.780562	0.336174
2.779602	0.336419
2.778641	0.336666
2.777681	0.336918
2.776720	0.337172
2.775760	0.33743
2.774799	0.337692
2.773839	0.337956
2.772878	0.338224
2.771917	0.338496
2.770957	0.338771
2.769996	0.339049
2.769036	0.33933
2.768075	0.339615
2.767115	0.339904
2.766154	0.340196
2.765194	0.340491
2.764233	0.34079
2.763273	0.341092
2.762312	0.341397
2.761352	0.341706
2.760391	0.342019
2.759431	0.342335
2.758470	0.342654
2.757510	0.342977
2.756549	0.343303
2.755589	0.343633
2.754628	0.343967
2.753668	0.344304
2.752707	0.344644
2.751747	0.344988
2.750786	0.345336
2.749826	0.345687
2.748865	0.346041
2.747904	0.346399
2.746944	0.346761
2.745983	0.347126
2.745023	0.347495
2.744062	0.347867
2.743102	0.348243
2.742141	0.348622
2.741181	0.349006
2.740220	0.349392
2.739260	0.349783
2.738299	0.350176
2.737339	0.350574
2.736378	0.350975
2.735418	0.35138
2.734457	0.351788
2.733497	0.3522
2.732536	0.352616
2.731576	0.353035
2.730615	0.353458
2.729655	0.353884
2.728694	0.354315
2.727734	0.354748
2.726773	0.355186
2.725813	0.355627
2.724852	0.356072
2.723891	0.356521
2.722931	0.356973
2.721970	0.357429
2.721010	0.357888
2.720049	0.358352
2.719089	0.358819
2.718128	0.359289
2.717168	0.359764
2.716207	0.360242
2.715247	0.360724
2.714286	0.361209
2.713326	0.361698
2.712365	0.362191
2.711405	0.362688
2.710444	0.363188
2.709484	0.363692
2.708523	0.3642
2.707563	0.364711
2.706602	0.365226
2.705642	0.365745
2.704681	0.366268
2.703721	0.366794
2.702760	0.367324
2.701800	0.367858
2.700839	0.368395
2.699878	0.368936
2.698918	0.369481
2.697957	0.370029
2.696997	0.370581
2.696036	0.371137
2.695076	0.371697
2.694115	0.37226
2.693155	0.372827
2.692194	0.373398
2.691234	0.373972
2.690273	0.37455
2.689313	0.375131
2.688352	0.375717
2.687392	0.376305
2.686431	0.376898
2.685471	0.377494
2.684510	0.378094
2.683550	0.378697
2.682589	0.379304
2.681629	0.379915
2.680668	0.380529
2.679708	0.381146
2.678747	0.381768
2.677787	0.382392
2.676826	0.383021
2.675865	0.383653
2.674905	0.384288
2.673944	0.384927
2.672984	0.385569
2.672023	0.386215
2.671063	0.386864
2.670102	0.387517
2.669142	0.388173
2.668181	0.388832
2.667221	0.389495
2.666260	0.390161
2.665300	0.390831
2.664339	0.391504
2.663379	0.39218
2.662418	0.392859
2.661458	0.393542
2.660497	0.394228
2.659537	0.394917
2.658576	0.395609
2.657616	0.396305
2.656655	0.397003
2.655695	0.397705
2.654734	0.39841
2.653774	0.399118
2.652813	0.399828
2.651853	0.400542
2.650892	0.401259
2.649931	0.401978
2.648971	0.402701
2.648010	0.403426
2.647050	0.404154
2.646089	0.404885
2.645129	0.405618
2.644168	0.406355
2.643208	0.407094
2.642247	0.407835
2.641287	0.408579
2.640326	0.409326
2.639366	0.410075
2.638405	0.410826
2.637445	0.41158
2.636484	0.412336
2.635524	0.413095
2.634563	0.413855
2.633603	0.414618
2.632642	0.415383
2.631682	0.41615
2.630721	0.416919
2.629761	0.41769
2.628800	0.418463
2.627840	0.419238
2.626879	0.420015
2.625918	0.420793
2.624958	0.421573
2.623997	0.422354
2.623037	0.423137
2.622076	0.423921
2.621116	0.424707
2.620155	0.425494
2.619195	0.426282
2.618234	0.427072
2.617274	0.427862
2.616313	0.428654
2.615353	0.429446
2.614392	0.430239
2.613432	0.431033
2.612471	0.431828
2.611511	0.432623
2.610550	0.433419
2.609590	0.434215
2.608629	0.435011
2.607669	0.435808
2.606708	0.436605
2.605748	0.437402
2.604787	0.438198
2.603827	0.438995
2.602866	0.439791
2.601905	0.440587
2.600945	0.441382
2.599984	0.442177
2.599024	0.442971
2.598063	0.443764
2.597103	0.444556
2.596142	0.445347
